chr	x1	x2	y1	y2	d	mean.A	mean.B	Tstat	Ttest.Pvalue	fdr
chr3	34640000.0	34650000.0	34730000.0	34740000.0	90000.0	0.2770070312720244	0.04683873050410081	2.338564970968072	0.020640355902571985	0.051600889756429964
chr3	34650000.0	34660000.0	34740000.0	34750000.0	90000.0	0.33786253485398104	0.23136943233892815	1.0474738381747564	0.2961929492999051	0.4936549154998418
chr3	34690000.0	34700000.0	34780000.0	34790000.0	90000.0	0.25126111800176004	0.25869432387398306	-0.07391651229338221	0.941154149849638	0.941154149849638
chr3	34720000.0	34730000.0	34810000.0	34820000.0	90000.0	0.09709223571066834	0.4163380350127997	-3.0582580071819803	0.002507604495947757	0.012538022479738785
chr3	34780000.0	34790000.0	34870000.0	34880000.0	90000.0	0.2940483048714592	0.30403070298008106	-0.08575493215237913	0.9317605177236641	0.941154149849638
chr3	34640000.0	34650000.0	34740000.0	34750000.0	100000.0	0.33940802199904124	0.28051307776090195	0.7420549688193419	0.4590581212923588	0.4590581212923588
chr3	34650000.0	34660000.0	34750000.0	34760000.0	100000.0	0.2739369248640897	0.2107446629392732	0.8719306265133608	0.3843455848586226	0.4590581212923588
chr3	34680000.0	34690000.0	34780000.0	34790000.0	100000.0	0.3650114535216336	0.4870986596845893	-1.3635516957653615	0.17435283816943942	0.4590581212923588
chr3	34640000.0	34650000.0	34750000.0	34760000.0	110000.0	0.3944872955636654	0.21030511478764846	2.0377909732696606	0.04306508676454655	0.05742011568606206
chr3	34650000.0	34660000.0	34760000.0	34770000.0	110000.0	0.4122388507429547	0.2072929070687005	2.3638946551586058	0.01925803754875538	0.03851607509751076
chr3	34670000.0	34680000.0	34780000.0	34790000.0	110000.0	0.3558847223903092	0.4163885503562783	-0.6370609168323353	0.5248549171951497	0.5248549171951497
chr3	34780000.0	34790000.0	34890000.0	34900000.0	110000.0	0.20362094353549515	0.5322452400197974	-3.2125987021405518	0.001532797912808733	0.006131191651234932
chr3	34640000.0	34650000.0	34760000.0	34770000.0	120000.0	0.4160663288776809	0.2412039230370988	2.2041013409877497	0.028843018018690873	0.05768603603738175
chr3	34650000.0	34660000.0	34770000.0	34780000.0	120000.0	0.37457454423507136	0.3144523780901521	0.7750684380203029	0.43933414151958416	0.5857788553594455
chr3	34660000.0	34670000.0	34780000.0	34790000.0	120000.0	0.34432572314236515	0.3546870650273176	-0.12641563035280445	0.8995395915119647	0.8995395915119647
chr3	34780000.0	34790000.0	34900000.0	34910000.0	120000.0	0.2941123619935172	0.5187355920940661	-2.348425672021608	0.019848697836014024	0.05768603603738175
chr3	34640000.0	34650000.0	34770000.0	34780000.0	130000.0	0.4481954767021064	0.3812334472833594	0.795101179191813	0.42760361038341577	0.6414054155751236
chr3	34650000.0	34660000.0	34780000.0	34790000.0	130000.0	0.3715350167237549	0.3414799339714339	0.3742803263287868	0.7086162854025366	0.7086162854025366
chr3	34780000.0	34790000.0	34910000.0	34920000.0	130000.0	0.44769917787784175	0.5447162900489093	-0.9883220649121836	0.3242823383672858	0.6414054155751236
chr3	34780000.0	34790000.0	34920000.0	34930000.0	140000.0	0.5500242450294195	0.4711401623743222	1.4309441772265734	0.1541286193426695	0.1541286193426698
chr3	34790000.0	34800000.0	34930000.0	34940000.0	140000.0	0.4757804025305044	0.5546644851856016	-1.4309441772265723	0.1541286193426698	0.1541286193426698
chr3	34640000.0	34650000.0	34790000.0	34800000.0	150000.0	0.6680637011223787	0.4061326341074255	2.9009472334758346	0.0042011777001056995	0.0063017665501585475
chr3	34650000.0	34660000.0	34800000.0	34810000.0	150000.0	0.4795999934945524	0.390362959973714	1.0787419633892186	0.282053523062975	0.282053523062975
chr3	34720000.0	34730000.0	34870000.0	34880000.0	150000.0	0.3118879490157368	0.6630560495515283	-3.4141261285014064	0.0007800129287941038	0.0023400387863823113
chr3	34650000.0	34660000.0	34810000.0	34820000.0	160000.0	0.528209588303742	0.3974207077446627	1.1019116858496498	0.2719651457278955	0.4079477185918433
chr3	34720000.0	34730000.0	34880000.0	34890000.0	160000.0	0.3870233349185928	0.5767820863099886	-1.603072846677126	0.11056899069429654	0.33170697208288963
chr3	34780000.0	34790000.0	34940000.0	34950000.0	160000.0	0.6718476077572677	0.6128777369249512	0.480766899847968	0.6312460120116661	0.6312460120116661
chr3	34640000.0	34650000.0	34810000.0	34820000.0	170000.0	0.5995034625169461	0.3507269522810669	2.093931945891555	0.037701908350432634	0.10652027352949188
chr3	34720000.0	34730000.0	34890000.0	34900000.0	170000.0	0.372426628912569	0.5819952733983429	-1.8153857834609384	0.07101351568632791	0.10652027352949188
chr3	34780000.0	34790000.0	34950000.0	34960000.0	170000.0	0.5376410669387887	0.5768489326888939	-0.33508618139335306	0.7379335888478421	0.7379335888478421
chr3	34640000.0	34650000.0	34820000.0	34830000.0	180000.0	0.4427680708185103	0.34622577584139524	1.1771398331485683	0.2406572487897844	0.2406572487897844
chr3	34780000.0	34790000.0	34960000.0	34970000.0	180000.0	0.4151845579679061	0.5117268529450213	-1.1771398331485703	0.24065724878978365	0.2406572487897844
chr3	34720000.0	34730000.0	34910000.0	34920000.0	190000.0	0.3534521543786507	0.3618244104142959	-0.16775742214687234	0.8669568173702422	0.8669568173702423
chr3	34740000.0	34750000.0	34930000.0	34940000.0	190000.0	0.3367076423073604	0.3283353862717152	0.16775742214687234	0.8669568173702423	0.8669568173702423
chr3	34710000.0	34720000.0	34930000.0	34940000.0	220000.0	0.3676155741061036	0.42366664955342503	-0.7811566232501962	0.43573687532487015	0.7813320749062276
chr3	34720000.0	34730000.0	34940000.0	34950000.0	220000.0	0.4478659350781367	0.4145661381469651	0.4752162404081402	0.6351837130770326	0.7813320749062276
chr3	34780000.0	34790000.0	35000000.0	35010000.0	220000.0	0.5787921770840806	0.5560408985679306	0.2779767288927454	0.7813320749062276	0.7813320749062276
chr3	34700000.0	34710000.0	34930000.0	34940000.0	230000.0	0.40479240718618814	0.575154725357413	-1.9646466345911449	0.050910198354106484	0.050910198354106484
chr3	34780000.0	34790000.0	35010000.0	35020000.0	230000.0	0.7307029289050532	0.5603406107338282	1.9646466345911462	0.050910198354106304	0.050910198354106484
chr3	34640000.0	34650000.0	34880000.0	34890000.0	240000.0	0.5106901371867285	0.5011380403956629	0.08663396783322193	0.9310542156318684	0.9310542156318684
chr3	34690000.0	34700000.0	34930000.0	34940000.0	240000.0	0.4345453928309778	0.3904149675291523	0.4028133781771435	0.6875616077379207	0.9310542156318684
chr3	34780000.0	34790000.0	35020000.0	35030000.0	240000.0	0.6043510366768227	0.6580335587697137	-0.4626516909169011	0.6441576651510275	0.9310542156318684
chr3	34680000.0	34690000.0	34930000.0	34940000.0	250000.0	0.5344706579032052	0.5091601608814413	0.2548152232096493	0.7991492000835707	0.7991492000835707
chr3	34780000.0	34790000.0	35030000.0	35040000.0	250000.0	0.7707019634396673	0.7960124604614316	-0.25481522320965266	0.7991492000835683	0.7991492000835707
chr3	34670000.0	34680000.0	34930000.0	34940000.0	260000.0	0.5350607434862549	0.5704325247072914	-0.34083609056972336	0.7336097925753653	0.7336097925753653
chr3	34780000.0	34790000.0	35040000.0	35050000.0	260000.0	0.8534067744755843	0.8180349932545476	0.3408360905697244	0.7336097925753646	0.7336097925753653
chr3	34720000.0	34730000.0	34990000.0	35000000.0	270000.0	0.5349838068474824	0.6340424778283653	-1.0162784727027252	0.3108031381779239	0.3108031381779239
chr3	34780000.0	34790000.0	35050000.0	35060000.0	270000.0	0.7991402627965039	0.7000815918156207	1.0162784727027274	0.3108031381779228	0.3108031381779239
chr3	34720000.0	34730000.0	35000000.0	35010000.0	280000.0	0.5314922404933203	0.6670481796684352	-1.44310069119609	0.15064939486822354	0.15064939486822354
chr3	34780000.0	34790000.0	35060000.0	35070000.0	280000.0	0.8185518763935637	0.6829959372184489	1.4431006911960902	0.15064939486822346	0.15064939486822354
chr3	34720000.0	34730000.0	35010000.0	35020000.0	290000.0	0.4946700445367258	0.6547051555278619	-1.6450442919849535	0.10159053449596646	0.10159053449596664
